endTime,artistName,trackName,msPlayed
2019-10-21 18:39,Mae Ji-Yoon,Intuition,131697
2019-10-21 18:41,Lôrinc Tzigane,Hiányérzet,576
2019-10-21 18:41,Lôrinc Tzigane,Hiányérzet,93772
2019-10-21 18:41,Charles Bolt,Hush Now,533
2019-10-21 18:41,Charles Bolt,Hush Now,5685
2019-10-21 18:41,Mae Ji-Yoon,Intuition,480
2019-10-21 18:41,Mae Ji-Yoon,Intuition,6720
2019-10-21 18:41,Berlioz,A Letter Home,6783
2019-10-21 18:42,Noemi Nucci,Vacillation,75666
2019-10-21 18:45,Kyran Martin,Belmont Street,149949
2019-10-21 18:48,Oddur Klemenzson,Seljalandsfoss,176000
2019-10-21 18:49,Prewitt Massé,Les glaçons qui pendent du toit,104500
2019-10-21 18:53,Franz Gordon,Jeremy and Maureen,204283
2019-10-21 18:55,Rick Jolt,One With You,133520
2019-10-21 18:57,Romaine LaGrande,Pense à moi,121750
2019-10-21 18:58,Jensine Fleischer,Adalene,110250
2019-10-21 18:59,Jef Martens,And So the Story Began,61000
2019-10-21 19:01,Jorulf,Myrdal-Flam,118188
2019-10-21 19:05,Robin Bennich,Resilient,206185
2019-10-21 19:06,Daniel Hueber,Ticino,104000
2019-10-21 19:08,Maik Kuefer,Monschau,114758
2019-10-21 19:11,Saddest Girl In The World,Asteroid,177626
2019-10-21 19:13,Claire Pinette,"Petit a petit, l’oiseau fait son nid",104874
2019-10-21 19:14,Ricki Westberg,When We First Met,112750
2019-10-21 19:16,Riccardo Lettiere,Magari,108000
2019-10-21 19:18,Ray Hutchcraft,Marble Falls,141374
2019-10-21 19:21,Diamond Thief,Forever is the Heart,161969
2019-10-21 19:23,Matt Stewart-Evans,Becalm,149352
2019-10-21 19:26,Carl Stark Willgold,Grace,135253
2019-10-21 19:27,Tuga Topić,Loch Awe,61927
2019-10-21 19:28,SIMO,Rippling,98126
2019-10-21 19:30,Mellancolia,Fade Into You,106144
2019-10-21 19:31,Harry Bergqvist,Vidablick,97000
2019-10-21 19:33,Vincent Sparro,Endings,97182
2019-10-21 19:36,Elliot Ziegler,Keep Me,190000
2019-10-21 19:38,Darrell Vitagliano,Gelsomino,118000
2019-10-21 19:40,Sufi Ellman,Bliss,135903
2019-10-21 19:43,Robin Bennich,Mirage,176767
2019-10-21 19:46,Martin Greenbaum,Silhouettes,182067
2019-10-21 19:48,Zygmunt Czarnecki,Kazimierz Dolny,107500
2019-10-21 19:49,Jens Wechsler,Aller Anfang ist schwer,121500
2019-10-21 19:51,Ian Wong,Fragile,103811
2019-10-21 19:53,Falerina Paquet,Fin de l'été,113000
2019-10-21 19:57,Marcel Kaestner,Jeden tag,272500
2019-10-21 19:59,Harry Bergqvist,Amungen,85624
2019-10-21 21:11,Patrizio Pisani,Eleonora,106041
2019-10-21 21:13,Megan Wofford,Awake,142271
2019-10-21 21:14,Jef Martens,Papillons,62712
2019-10-21 21:16,Santo Trevisani,If you ever change your mind,122000
2019-10-21 21:17,Finn Hovdal,Striving,90874
2019-10-21 21:20,Léon Branche,Maestro Dell'Invisibile,149041
2019-10-21 21:21,Lorraine J. Kovach,Loquacious,89500
2019-10-21 21:25,Saddest Girl In The World,Remembrance,224595
2019-10-21 21:27,Csizmazia Etel,Olyan szép vagy,125500
2019-10-21 21:30,Sarah Spring,Requiem,171353
2019-10-21 21:31,Bolethe Kristensen,Morgensol,105000
2019-10-21 21:34,Shaunta Coburn,Grateful,145250
2019-10-21 21:36,Aleksy Wysocki,Lato,127000
2019-10-21 21:38,Leroy Denby,Ponderosa pine,171000
2019-10-21 21:41,Melanie Adler,Gratitude,131803
2019-10-21 21:43,Mewael Yemane,In your eyes,136500
2019-10-21 21:46,Jensine Fleischer,Dalliance,177500
2019-10-21 21:48,Fiona Elyse,Flourescent Fields,161172
2019-10-21 21:50,Jani Lechleiter,Hrepenenje,106624
2019-10-21 21:52,Christopher Dicker,Solitaire,114070
2019-10-21 21:54,Tip Ferreira,Shine,160591
2019-10-21 21:56,Danko Debeljak,Lijepo,131500
2019-10-21 21:58,Bert Hearns,Leander,124750
2019-10-21 22:02,Jose Garcia,sincerity,224124
2019-10-21 22:05,Zoé de Vera,In Bloom,179086
2019-10-21 22:07,Zwera,Causality,123864
2019-10-21 22:09,Darrell Boxman,Oudewater,102374
2019-10-21 22:10,Way Beyond,Floating,117820
2019-10-21 22:14,Milo Edale,Motion Picture,212864
2019-10-21 22:17,Steven Mudd,Childhood,163273
2019-10-21 22:19,Martin Greenbaum,Cloud Walk,162597
2019-10-21 22:21,Jan Kubec,Toužebný,134750
2019-10-21 22:23,Henrietta Kuipers,Salvatore,113961
2019-10-21 22:25,Oline Kleist,Delori's theme,85874
2019-10-21 22:27,Zuzana Kudová,Vpředu,121439
2019-10-21 22:29,Jorulf,Reed Straw,169777
2019-10-21 22:32,Lambert,Awake,180555
2019-10-21 22:35,Alida Sørby,Kjæreste,143812
2019-10-21 22:37,Linda Stinnett,Ladoga,135874
2019-10-21 22:39,Elsa Enestam,Laajoki,142291
2019-10-21 22:42,Renato Luigi,Remember me,166500
2019-10-21 22:44,Eric Badanti,Vals De Rodrigues,161209
2019-10-21 22:47,Tom Merrall,Hopedale,157357
2019-10-21 22:50,Dilaz,Moving Space,184000
2019-10-21 22:52,Caitrìona Caitir,Morass,130260
2019-10-21 22:55,Heike Blau,Fernweh,155000
2019-10-21 22:56,Laura Frey,Acacia,95750
2019-10-21 22:58,Teodor Wolgers,lament,117034
2019-10-21 23:00,Klaus Weissmuller,franconia,131500
2019-10-21 23:02,Donnie Harman,Western Brook Pond,135624
2019-10-21 23:06,Christina Higham,The Coldest Day Of The Year,190430
2019-10-21 23:08,Martin Greenbaum,Two By Two,123199
2019-10-21 23:10,Cauã Cavalcanti Azevedo,That kind of day,148812
2019-10-21 23:12,Libor Kolman,À une passante,104000
2019-10-21 23:15,Johannes Bornlöf,Twinkle of the Lights,195235
2019-10-21 23:17,In Amber,A Walk Down the Aisle,162379
2019-10-21 23:19,Pataki Gisella,Zala,113624
2019-10-21 23:21,Csizmazia Etel,Szerelem,120500
2019-10-21 23:24,Sabine Paulet,flâner,195500
2019-10-21 23:27,Bionda van der Ham,Hou je nog van mij?,136250
2019-10-21 23:29,Zachary Patel,Elfreth’s Alley,136250
2019-10-21 23:30,Lionel Scardino,Arrebol,82799
2019-10-21 23:33,Charles Bolt,Tone of Love,198952
2019-10-21 23:35,Mark Mintuny,Beloved,133879
2019-10-21 23:36,Satordi de Launay,Échelle,59287
2019-10-21 23:39,Ever So Blue,Progress,138629
2019-10-21 23:41,Eline Neteland,Nora,142000
2019-10-21 23:43,Orlene de Brisay,Tiens-toi à moi,122874
2019-10-21 23:45,Charlot Bélair,Dépaysant,114124
2019-10-21 23:46,Zoé de Vera,For Her,99000
2019-10-21 23:50,Karim Blau,Answers,223202
2019-10-21 23:53,Henry Hume,When the Dust Clears,199502
2019-10-21 23:56,Christopher Dicker,Penumbra,183207
2019-10-21 23:58,Minik Jakobsen,Limerence,111250
2019-10-22 00:00,Petra Birgisdóttir,Akureyri,118500
2019-10-22 00:01,Robin Bennich,Pinwheel,95919
2019-10-22 00:03,Nicola Conti,Silva Ciminia,103250
2019-10-22 00:05,Nansen Christoffersen,Farvel til sommeren,123500
2019-10-22 00:07,Berlioz,Waiting,102124
2019-10-22 00:10,Ever So Blue,Cessura,185390
2019-10-22 00:13,Rand Aldo,Sleeping like the Birchwood,204000
2019-10-22 00:15,Mildred Wolf,I Hear Your Wish,123124
2019-10-22 00:16,Max Richter,Written on the Sky,99866
2019-10-22 02:16,Lisa Chong,Lisa's waltz,129812
2019-10-22 02:18,Floriscope,Petals,157979
2019-10-22 02:20,Kaja Voll,Når jeg ser deg,118437
2019-10-22 02:22,Odin Sørlie,Lucida,127250
2019-10-22 02:25,Davorka Poljak,Kozjak,148500
2019-10-22 02:26,Bionda van der Ham,Zomer,119500
2019-10-22 02:29,Jamie Bendrodt,One day at a time,135000
2019-10-22 02:31,Megan Wofford,Beginning,146145
2019-10-22 02:33,Lambert,Otis,137998
2019-10-22 02:36,Aimee Fleur,Windswept,146044
2019-10-22 02:38,Renato Luigi,Bergamo,126888
